Date,Vehicle Class,Fuel Type,Classified,Date
2021-04-01,Private Light Bus,Electric,1,2021-04-01
2021-04-01,Private Light Bus,LPG,103,2021-04-01
2021-04-01,Public Bus,Diesel,784,2021-04-01
2021-04-01,Public Light Bus,Diesel,20,2021-04-01
2021-04-01,Public Light Bus,LPG,242,2021-04-01
2021-04-01,Taxi,LPG,1277,2021-04-01
2021-05-01,HGV,Diesel,459,2021-05-01
2021-05-01,LGV,Diesel,6932,2021-05-01
2021-05-01,LGV,Electric,53,2021-05-01
2021-05-01,LGV,Petrol,2,2021-05-01
2021-05-01,MGV,Diesel,1953,2021-05-01
2021-05-01,MGV,Electric,2,2021-05-01
2021-05-01,Motorcycle,Electric,57,2021-05-01
2021-05-01,Motorcycle,Petrol,14148,2021-05-01
2021-05-01,Private Bus,Diesel,82,2021-05-01
2021-05-01,Private Car,Electric,8229,2021-05-01
2021-05-01,Private Car,Petrol,50568,2021-05-01
2021-05-01,Private Light Bus,Diesel,100,2021-05-01
2021-05-01,Private Light Bus,Electric,1,2021-05-01
2021-05-01,Private Light Bus,LPG,109,2021-05-01
2021-05-01,Public Bus,Diesel,823,2021-05-01
2021-05-01,Public Light Bus,Diesel,22,2021-05-01
2021-05-01,Public Light Bus,LPG,258,2021-05-01
2021-05-01,Taxi,LPG,1344,2021-05-01
2021-06-01,HGV,Diesel,489,2021-06-01
2021-06-01,LGV,Diesel,7361,2021-06-01
2021-06-01,LGV,Electric,56,2021-06-01
2021-06-01,LGV,Petrol,2,2021-06-01
2021-06-01,MGV,Diesel,2084,2021-06-01
2021-06-01,MGV,Electric,2,2021-06-01
2021-06-01,Motorcycle,Electric,61,2021-06-01
2021-06-01,Motorcycle,Petrol,15051,2021-06-01
2021-06-01,Private Bus,Diesel,85,2021-06-01
2021-06-01,Private Car,Electric,8810,2021-06-01
2021-06-01,Private Car,Petrol,53778,2021-06-01
2021-06-01,Private Light Bus,Diesel,104,2021-06-01
2021-06-01,Private Light Bus,Electric,1,2021-06-01
2021-06-01,Private Light Bus,LPG,118,2021-06-01
2021-06-01,Public Bus,Diesel,864,2021-06-01
2021-06-01,Public Light Bus,Diesel,26,2021-06-01
2021-06-01,Public Light Bus,LPG,274,2021-06-01
2021-06-01,Taxi,LPG,1410,2021-06-01
2021-07-01,HGV,Diesel,519,2021-07-01
