資料年月,縣市,燃料別,車種類別,數量
201301,臺北市,總計,機車重型,861373
201301,臺北市,總計,機車輕型,239315
201302,臺北市,汽油,大客車,36
201302,臺北市,汽油,大貨車,25
201302,臺北市,汽油,小客車,637217
201302,臺北市,汽油,小貨車,36209
201302,臺北市,汽油,特種車,4758
201302,臺北市,汽油,機車重型,862208
201302,臺北市,汽油,機車輕型,235073
201302,臺北市,汽油(油電),大客車,0
201302,臺北市,汽油(油電),大貨車,0
201302,臺北市,汽油(油電),小客車,0
201302,臺北市,汽油(油電),小貨車,0
201302,臺北市,汽油(油電),特種車,0
201302,臺北市,汽油(油電),機車重型,0
201302,臺北市,汽油(油電),機車輕型,0
201302,臺北市,汽油/LPG,大客車,0
201302,臺北市,汽油/LPG,大貨車,0
201302,臺北市,汽油/LPG,小客車,7433
201302,臺北市,汽油/LPG,小貨車,2
201302,臺北市,汽油/LPG,特種車,16
201302,臺北市,汽油/LPG,機車重型,0
201302,臺北市,汽油/LPG,機車輕型,0
201302,臺北市,汽油/電能,大客車,0
201302,臺北市,汽油/電能,大貨車,0
201302,臺北市,汽油/電能,小客車,9816
201302,臺北市,汽油/電能,小貨車,2
201302,臺北市,汽油/電能,特種車,8
201302,臺北市,汽油/電能,機車重型,0
201302,臺北市,汽油/電能,機車輕型,0
201302,臺北市,柴油,大客車,7163
201302,臺北市,柴油,大貨車,6053
201302,臺北市,柴油,小客車,23225
201302,臺北市,柴油,小貨車,23929
201302,臺北市,柴油,特種車,3435
201302,臺北市,柴油,機車重型,1
201302,臺北市,柴油,機車輕型,0
201302,臺北市,柴油(油電),大客車,0
201302,臺北市,柴油(油電),大貨車,0
201302,臺北市,柴油(油電),小客車,0
201302,臺北市,柴油(油電),小貨車,0
201302,臺北市,柴油(油電),特種車,0
201302,臺北市,柴油(油電),機車重型,0
201302,臺北市,柴油(油電),機車輕型,0
201302,臺北市,柴油/電能,大客車,20
201302,臺北市,柴油/電能,大貨車,0
201302,臺北市,柴油/電能,小客車,0
201302,臺北市,柴油/電能,小貨車,0
201302,臺北市,柴油/電能,特種車,0
201302,臺北市,柴油/電能,機車重型,0
201302,臺北市,柴油/電能,機車輕型,0
201302,臺北市,液化石油氣,大客車,0
201302,臺北市,液化石油氣,大貨車,0
